Sno,Name,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,Jagjanani_Text.,10.93,0,,-0.06,2400,-0.04,0,0,-0.16,4,3.84,0,3.84,0,3.84,0
2,Manbro_Indust.,1079.7,20.87,0.05,-0.03,700,-0.6,48.09,24,0.27,0.01,0.28,0,0.28,0,0.28,0.04
3,Aananda_Lakshmi,19.13,1.41,62.41,3.08,483.4,2.71,0,2.1,1.45,2.78,6.09,0.12,5.97,0.03,4.08,0
4,Monotype_India,0.98,50.87,17.22,7.99,437.75,0.11,-0.3,4.58,3.73,6,9.74,0,9.74,0.45,9.28,0.01
5,Medinova_Diagno.,36.61,9.79,29.62,1.9,232,1.9,0,10.17,2.83,0.2,3.03,0.13,2.9,0.62,2.28,0.28
6,Spice_IslandsInd,34.65,0.68,-82.35,-0.69,211.76,-1.6,0,0.9,-0.01,0.43,0.4,0.04,0.36,0.06,0.32,0
7,Ksolves_India,975.8,134.1,38.97,37.93,199.44,31.99,0,108.07,46.9,0.34,47.24,0.84,46.4,0.51,45.89,11.66
8,Varyaa_Creations,75,21.4,16.82,3.02,192.38,8.75,0,21.4,3.6,0.44,4.04,0,4.04,0,4.04,1.01
9,Guj._Toolroom,11.32,990.68,12.38,117.55,179.1,10.07,0,555.43,75.53,2.49,78.02,0.03,77.99,0,77.99,4.86
10,Nestle_India,2327.2,19965.27,23.62,3137.02,169.08,34.88,0,24393.89,5813.15,158.99,5961.11,537.78,5423.33,145.49,5288.87,1356.03
11,Vintron_Info.,37.53,532.22,8.58,39.1,146.65,4.99,-7.1,174.12,16.67,0.05,16.72,0.06,16.66,0.02,16.64,0
12,Swadeshi_Polytex,85.55,54.55,89.57,47.54,146.6,12.17,0,99.26,92.44,6.53,99.11,0.05,99.06,0,98.92,16.57
13,Tuticorin_Alkali,92.42,278.92,22.28,62.28,146.32,6.66,0,320.36,75.47,-1.64,77.81,4.11,73.7,3.1,66.62,-3
14,CLN_Energy,265.25,132.71,14.09,9.78,146.26,28.75,,132.71,18.7,0.15,18.84,6.43,12.41,0.18,12.24,2.46
15,Athena_Global,91.77,16.42,-110.9,206.96,123.99,147.3,0,13.78,-19.23,236.57,217.34,0.31,217.03,11.32,205.71,0.72
16,Infronics_Sys.,41.22,3.19,82.45,1.76,123.82,2.22,0,4.34,3.83,0.03,3.86,0.04,3.82,0.29,3.53,1.01
17,Ambitious_Plasto,13.82,6.56,1.37,0.15,120,0.26,0,5.96,0.03,0.03,0.06,0,0.06,0,0.06,0
18,Maha_Rashtra_Apx,131.69,8.52,-1101.29,345.44,119.79,245.69,0,9.46,5.57,342.41,344.27,0.04,344.23,0.02,347.92,1.52
19,Franklin_Indust.,2.54,88.53,21.95,18.75,119.6,0.65,0,50.58,10.97,0.37,11.35,0.03,11.32,0,11.31,0.85
20,Sathlokhar,451.8,246.97,14.4,26.15,116.56,131.05,,246.97,35.57,0.35,35.84,0.26,35.58,0.66,35,8.79
21,Press._Senstive,4.19,173.13,41.01,70.73,113.96,4.77,0,349.05,141.39,0.13,141.52,0.03,141.49,0,141.49,0
22,P_&_G_Hygiene,14661.3,4202.51,23.22,676.23,112.44,208.32,0,4205.7,975.77,46.71,1028.02,56.5,971.52,26.78,939.2,264.18
23,Triveni_Glass,18.38,0,,1.76,112.22,1.39,0,0,-1.46,4.56,3.07,0.04,3.03,0.19,2.87,0
24,Waaree_Renewab.,1001.95,1394.18,18.64,186.98,107.1,17.94,-0.05,867.36,198.9,7.83,206.5,2.58,203.92,3.86,200.29,51.35
25,RRPSemiconductor,291.7,11.15,31.57,3.57,104.76,9.57,0,0.38,0.11,0,0.11,0,0.11,0.13,-0.02,0
26,Spectrum_Foods,26.36,23.58,-1.23,-0.82,104.02,-0.3,0,19.15,2.92,0.29,3.21,1.01,2.2,0.06,2.14,0.82
27,Tips_Music,682.9,295.46,67.56,161.71,103.8,12.64,0,241.58,158.47,14.38,170.4,1.97,168.43,0.35,170.53,43.36
28,Nisus_Finance,446.55,42.13,81.49,22.88,101.56,213.24,,42.13,34.33,0.38,34.72,0.13,34.59,1.18,33.4,10.34
29,Remedium_Life,4.41,3345.45,0.73,18.48,99.5,0.46,0,4040.39,34.21,21.08,55.29,0.06,55.23,4.78,50.45,17.72
30,Modern_Engineer.,38,91.34,5.03,3.17,98.71,2.05,0,93.22,9.87,0.62,10.49,2.84,7.65,0.96,6.69,3.05
31,Bridge_Securitie,11.1,2.22,92.79,2.03,98.55,0.57,-0.48,0.8,0.68,0,0.68,0,0.68,0,0.68,0.17
32,Sat_Kartar,156.35,127.91,8.01,6.2,98.3,22.54,,127.91,10.24,0.2,10.29,1.33,8.96,0.52,8.59,2.29
33,Identical_Brains,54.35,20.09,37.88,5.35,97.75,7.77,,20.09,7.61,0.18,7.79,0.4,7.39,0.02,7.37,2.03
34,Blue_Pebble,272,32.27,18.07,4.6,97.57,12.01,0,22.06,5.04,0.1,5.15,0.13,5.02,0,5.01,1.26
35,Colgate-Palmoliv,2898.6,6067.67,32.83,1461.63,96.8,53.74,0,5680.43,1901.07,56.77,1977.59,171.51,1806.08,5,1781.33,457.67
36,Technvision_Ven.,3660,218.97,9.66,17.39,94.69,27.71,0,192.77,17.07,0.56,17.63,1.58,16.05,1.79,14.26,0.72
37,Vuenow_Infratech,94.02,47.3,24.8,8.15,94.38,3.51,0,37.73,7.35,0,7.35,0.47,6.88,0.19,6.69,1.57
38,Rajkamal_Synth.,57.61,1,26,0.23,94.12,0.35,0,0.08,-0.12,0.29,0.17,0.01,0.16,0.01,0.15,0
39,Gayatri_Sugars,13.89,331.69,8.88,-4.08,93.23,-0.63,-0.25,377.11,37.52,0.49,38.01,6.67,31.34,24.3,7.04,0
40,Positron,270.35,154.57,10.19,11.58,91.08,18.55,,134.73,11.93,0.69,12.62,0.26,12.36,0.58,11.78,3.02
41,Anirit_Ventures,87.15,0.33,9.09,6.33,88.89,10.55,0,0.46,0.16,6.05,0.16,0.04,0.12,0.09,6.08,0
42,Mishtann_Foods,6.11,1392.64,26.88,365.1,88.74,3.45,0,1287.89,359.06,0.06,359.12,0.68,358.44,4.46,353.98,7.95
43,Shubhshree,430.15,94.15,4.49,3.3,86.51,8.57,,94.15,4.23,0.74,4.97,0.13,4.84,0.22,4.62,1.32
44,One_Global_Serv,282.8,71.81,17.85,9.46,84.85,13.32,0,63.01,9.72,0,9.72,0.23,9.49,-0.01,9.5,2.39
45,Network_People,2277.35,200.72,34.09,50.33,83.46,25.96,0,127.55,42.1,1.62,44.74,8.3,36.44,0.03,35.39,8.68
46,Associated,151,5.38,28.07,1.01,80.47,10.86,0,5.38,1.51,0,1.51,0.15,1.36,0.01,1.35,0.34
47,Apex_Ecotech,139.35,53.08,16.82,6.63,79.09,68.45,-25.03,53.08,8.93,0.38,9.31,0.23,9.08,0.1,8.98,2.35
48,21st_Cent._Mgmt.,77.44,157.35,41.05,59.51,78.43,56.68,-0.21,38.59,32.98,0,32.98,0.05,32.93,0,32.93,0.76
49,Lloyds_Metals,1227.95,7082.39,30,1525.51,78.27,29.73,-0.01,6521.65,1728.58,52.65,1761.56,48.88,1712.68,5.64,1726.71,483.56
50,Jhandewala_Foods,75.9,46.41,0.54,7.83,78.22,23.96,0,26.3,-2.99,27.94,6.46,0.41,6.05,1.25,23.29,-0.93
51,Crestchem,262.25,26.04,15.78,3.17,78.17,10.57,0.07,21.18,2.78,0.26,3.04,0.05,2.99,0.01,2.98,0.83
52,Esab_India,4999.3,1310.64,18.27,169.81,75.86,110.32,0,1243.32,227.76,6.49,231.86,13.79,218.07,0.5,219.96,56.98
53,Unimech_Aero.,1279.3,208.78,37.97,58.05,75.43,13.21,,208.78,79.28,5.01,84.18,4.46,79.72,3.33,76.5,18.36
54,Teerth,452.9,135.55,21.31,17.65,75.31,18.1,0,104.92,18.11,0.18,18.29,1.27,17.02,0.97,16.05,4.49
55,Shilchar_Tech.,6413.25,496.72,29.17,116.5,74.65,152.75,0,396.88,113.33,12.8,126.16,2.6,123.56,0.21,123.32,31.44
56,Envirotech,109.4,46.08,34.7,11.43,74.01,8.54,,46.08,15.99,0.64,16.63,0.21,16.42,0.82,15.6,4.17
57,High_Street_Fila,174.5,5.37,1.68,0.09,73.68,1.39,0,1.46,0.07,0,0.07,0,0.07,0,0.07,0
58,P._H._Capital,308.25,172.23,16.83,21.1,73.5,70.33,0,161.39,27.73,0.03,27.73,0.27,27.46,0.24,27.25,7.11
59,Life_Insurance,848.2,896106.33,2.88,41465.26,72.95,65.65,0,845966.37,32778.7,14828.66,47607.36,465.94,47141.42,127.88,47013.54,6097.69
60,Concord_Control,1570,84.82,26.97,15.08,72.84,25.21,0.42,65.52,16.95,1.09,18.04,0.53,17.51,0.15,17.36,4.55
61,Prizor_Viztech,175.3,35.65,23.06,5.57,72.24,69.62,,35.65,8.22,0.04,8.26,0.05,8.21,0.6,7.61,2.03
62,Naturewings_Hol.,74.5,21.81,7.38,1.12,72.22,5.07,0,21.81,1.61,0.09,1.7,0.14,1.56,0.04,1.52,0.4
63,Avax_Apparels,105.33,22.06,9.52,1.38,71.28,18.03,,22.06,2.1,0,2.1,0.09,2.01,0.07,1.94,0.56
64,Sanofi_India,5483.8,2192.2,25.54,421.55,71.1,199.96,0,2851.1,804,83.1,869.3,39.6,829.7,1.7,845.8,242.6
65,IB_Infotech,196,6.92,22.4,0.78,69.9,6.09,0,5.82,1.04,0.06,1.1,0.09,1.01,0.02,0.99,0.25
66,Rockingdeals_Cir,559.35,55.31,18.89,6.97,69.52,12.32,0,49.56,7.53,0.29,7.82,0.27,7.55,0.31,7.24,2.03
67,Olatech_Solution,422.65,20.02,34.92,5.03,68.21,11.62,-3.13,15.16,4.36,0.02,4.38,0.1,4.28,0.1,4.18,1.17
68,Bhudevi_Infra,147.2,3.62,57.46,1.81,67.95,3.94,0,3.62,1.18,0.06,1.24,0,1.24,0.02,1.22,0.3
69,Sh._Rajas._Synt.,15.5,12.2,-89.84,5.44,67.62,39.92,0,25.29,-7.08,122.83,4.98,1.91,3.07,1.68,112.16,0
70,Yuranus_Infrast.,81.41,58.46,1.21,0.43,67.47,1.23,0,73.4,1.93,0.04,1.97,0,1.97,0,1.97,0.53
71,Share,80,9.28,55.06,3.77,66.45,4.18,,9.28,5.11,0.13,5.24,0.09,5.15,0.06,5.09,1.32
72,VJTF_Eduservices,75.86,2.17,-698.62,9.83,66.33,45.02,0,0.55,-7.51,100.96,91.12,0.2,90.92,3.02,90.23,22.06
73,Trom,217.55,77.32,14.43,7.84,66.33,10.23,,54.32,8.29,0.2,8.49,0.07,8.42,0.76,7.66,1.93
74,Vipul_Ltd,15.79,224.47,45.61,271.28,66.14,22.37,-10.71,206.49,84.69,229.31,308.24,2.74,305.5,24.07,287.19,53.68
75,Nexus_Surgical,15.36,4.83,13.04,0.47,65.93,0.86,0,3.47,0.27,0.03,0.3,0,0.3,0.01,0.29,0.08
76,Jyoti_Resins,1259.5,276.76,31.27,72.88,65.88,60.73,0,257.3,83.94,6.82,90.76,1.09,89.67,0.07,89.6,22.48
77,Veritaas,93,12.64,25,1.74,65.59,7.33,0,10.35,3.05,0.01,3.06,0.42,2.64,0.26,2.38,0.68
78,Sanathnagar_Ent.,37.05,2.3,72.61,-1.95,65.46,-6.19,0,3.81,2.88,0.38,3.26,0,3.26,0,3.26,0.32
79,Cochin_Malabar,184.15,0,,0.54,65.15,3,0,0,-0.11,1.14,1.03,0.03,1,0.5,0.5,0
80,Sahasra_Electro.,492.65,101.15,35.5,32.63,65.05,17.25,,101.15,35.91,1.64,37.55,2.03,35.52,1.32,34.2,1.57
81,NINtec_Systems,447.6,78.17,30.56,18.92,64.39,10.19,0,64.74,18.14,1.65,18.89,1.1,17.79,0.03,18.66,4.59
82,TCS,4073.15,252082,26.81,48763,64.28,134.78,0,240893,64296,3464,68700,4985,63715,778,61997,15898
83,Basilic_Fly_Stud,292.55,84.58,45.25,27.59,64.05,11.87,0,100.3,48.8,2.88,51.68,1.01,50.67,0.49,50.18,13.98
84,My_Mudra_Fin.,67.1,71.14,18.09,8.36,63.68,7084.75,,71.14,12.87,0,12.87,0.58,12.29,1.1,11.19,2.84
85,Coal_India,385.3,140327.66,33.22,34350.02,63.59,55.88,0,142323.98,47971.49,8395.91,56348.55,6735.42,49613.13,819.37,48812.61,11443.48
86,Z-Tech,614.5,67.32,16.65,7.8,63.59,8.29,0,67.32,11.21,0.05,11.26,0.64,10.62,0.11,10.51,2.71
87,BNR_Udyog,62.79,2.71,26.57,0.73,63.55,2.43,0,7.24,5.17,0,5.17,0.08,5.09,0,5.09,0.78
88,Promact_Impex,12.79,1.56,83.33,0.73,63.04,1.12,0,1.77,1.51,0.01,1.52,0.07,1.45,0.53,0.92,0.03
89,Kiduja_India,38.23,49.29,96.17,34.39,62.45,17.55,0,45.03,43.55,-0.06,43.55,0,43.55,9.55,33.94,0
90,Jai_Balaji_Inds.,133.6,6659.47,15.49,869.56,62.33,10.29,0,6413.78,928.55,192.8,1143.12,85.62,1057.5,72.52,963.21,83.65
91,Everlon_Fin.,117.45,12.09,74.03,8.58,61.46,13.84,0,10.19,9.13,0.04,9.13,0.08,9.05,0.02,9.07,1.06
92,Wanbury,211.64,577.21,12.18,27.61,60.64,16.17,-0.01,557.06,72.94,25.61,75.66,13.03,62.63,29.18,56.34,0.38
93,Denta_Water,338.8,238.6,33.19,59.73,60.48,31.11,,238.6,79.19,3.24,82.43,0.49,81.94,0.56,81.38,21.66
94,Nephro_Care,199.45,31.82,18.1,2.95,60.41,1.97,-23.64,27.23,6.47,0.28,6.58,0.53,6.05,0.09,6.13,1.72
95,Slone,378.45,193.43,5.37,6.78,60.39,14.28,0.3,60.69,6.5,0.37,6.87,0.94,5.93,0.36,5.57,1.38
96,Gillette_India,8768.5,2747.35,24.83,452.02,58.91,138.72,0,2633.08,633.93,19.59,660.03,82.64,577.39,8.63,562.25,150.55
97,Dindigul_Farm,50,85.53,15.14,8.74,58.74,4.86,0,85.53,12.95,0.03,12.98,2.13,10.85,3.19,7.66,-1.08
98,E_Factor_Experie,234,145.45,14.31,14.88,58.4,11.37,0,148.56,22.35,0.68,23.03,1.05,21.98,1.24,20.74,5.37
99,Sumuka_Agro,210.55,59.72,10.63,4.24,58.15,5.01,0,54.95,7.06,-1.47,7.07,0.17,6.9,0.04,5.38,1.13
100,Global_Education,60.75,74.25,47.8,29.03,58.1,5.74,0,74.31,43.83,5.34,49.12,4.33,44.79,0.01,44.83,11.13
